D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Peticiones Gas Oficinas (resuelto),PRESENCIAL,SEPARACION TEMPORAL O PAGO DIRIGIDO,El usuario solicita separaci?n,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"CLIENTE :EDISON MONSALVE CC :71723720TEL:3003041675SMS :SIDIR :CL 75 A CR 75 -110 (INTERIOR 103 ) usuario muy inconforme solicita que se le demuestre como le hicieron la notificacion de la revicion periodica , ademas el dia de hoy tenia cita asignada y le incumplieron ,validar informacion .",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,NO ME RESOLVIERON EL PROBLEMA NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,"QUE LLAME 3 VECES Y 3 VECES ME DIERON INFORMACIÓN DIFERENTE EL ASESOR QUE ME  ATENDIÓ ,  SOLO EN LA  ÚLTIMA LLAMADA FUE CORRECTA LA INFORMACIÓN  QUE ME DIERON",INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,NO SE REALIZÓ UN DEBIDO PROCESO PARA CONTESTAR LA LLAMADA NO SIGUIERON NO TOMARON REALMENTE EN CUENTA LA SOLICITUD QUE YO ESTABA PIDIENDO PORQUE YO LLAME Y DIJE QUE ERA PROBLEMA DE ACUEDUCTO Y ME DIJERON SI YA LO VAMOS A ENVIAR AL ÁREA ENCARGADA Y ME COMUNICARON CON OTRA PERSONA Y ME DIJERON ENTRE UNA HORA MÁS O MENOS IBAN A COMUNICAR PARA PEDIR LA DIRECCIÓN PARA REPORTAR EL DAÑO PERO EL ÁREA ENCARGADA NO TOMO LA LLAMADA SINO QUE LA ENVIARON PARA OTRA ÁREA QUE EL ÁREA DE ELECTRICIDAD CUANDO YO LO QUE ESTABA SOLICITANDO ERA UNA SOLUCIÓN DE ACUEDUCTO,INCIDENTES NEGATIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Usuaria en calidad de inquilina reclama por los valores facturados por el producto de acueducto y alcantarillado en el mes de marzo, no se dejan valores en reclamaci?n porque no hay desviaci?n significativa y los consumos del mes son inferiores al consumo",_,BELLO,Acueducto,Oficina de atención,,Metropolitana,CUANDO LLEGUÉ A LA OFICINA ME ATENDIERON DE UNA VEZ Y NO TUVE QUE HACER FILA. LA MUCHACHA QUE ME ATENDIÓ LO HIZO MUY BIEN PORQUE TUVO PACIENCIA CONMIGO EN LA CUENTA DE LOS SERVICIOS.,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de propietario solicita requisitos para pasar de provisional de la construcci?n a residencial,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,"BUENO PORQUE ME HABÍAN CAMBIADO EL CONTADOR DEL AGUA, QUE PARA MÍ ESTABA BUENO PERO QUE LO ESTABAN MODERNIZANDO Y ESE DÍA YO VI QUE EL MUCHACHO LO CONECTO PERO LE TUVO QUE HACER UNA FUERZA AL TUVO Y DESPUÉS AL OTRO DÍA, COMO ESTABA LLOVIENDO TANTO YO NO CREÍ QUE ERA DE ARREGLO QUE HICIERON AL CONTADOR EN DONDE SE ESTABA SALIENDO EL AGUA Y RESULTA QUE AL TERCER DÍA VIENDO QUE ESO SEGUÍA SALIENDO SE EL AGUA VINOS QUE ERA DEL CONTADOR, PORQUE LOS OTROS CONTADORES NO ESTABAN ASÍ ENTONCES AHÍ YO YA TUVE QUE LLAMAR PERO SI AL OTRO DÍA DE HABER LLAMADO ELLOS SI VINIERON ARREGLARLO Y DE AHÍ YA QUEDO BIEN REALIZADO EL TRABAJO PERO SI ME MOLESTO EL CAMBIO EL CUAL NO CREO QUE ERA NECESARIO, NO DA MÁS INFORMACIÓN.",INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,QUE EL ASESOR ME ATENDIÓ EN LA LÍNEA DE ATENCIÓN ME ORIENTO PARA SOLUCIONAR EL MOTIVO POR EL CUAL LLAME  / NO DA MÁS INFORMACIÓN,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de inquilino solicita informaci?n acerca de la financiaci?n que registra en la instalaci?n,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,ME RECORDARON QUE PODÍA PASAR DE PRIMERAS A LA ATENCIÓN YA QUE IBA CON MI BEBE (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"USUARIO: FELIX ANDR?S MORENO
C.C: 1076386827
TLE?FONO: 3003898760
AUTORIZA ENV?O SMS: SI
DIRECCI?N: CL 2 B CR 81 B -207 (INTERIOR 214 )
ID: 00001129561554472938
Orden en SCO 26831708 con observaci?n ""Sello #: XXXXXX, Novedades Encontradas En Terreno: se encontro suspendida de breakers no se sella realizo c12 | Notificado: DOC. IDENTIFICACION.: ; TIPO NOTIFICADO: ; NOMBRE NOTIFICADO: sola""
Usuario pide una pronta soluci?n pues se encuentra sin servicio y se le est?n da?ando los alimentos de la nevera. Favor validar.",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,QUE LA  RESPUESTA FUE OPORTUNA Y ASERTIVA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"PORQUE ME ATENDIERON EL CASO DE MARERA URGENTE NO ME DEJARON ESPERANDO, NO ME DEJARON EN CUESTIÓN DE QUE, SI IBAN A VENIR O NO, PORQUE A VECES UNO LLAMA A LAS EMPRESAS Y LO DEJAN A UNO ESPERANDO, PERO ACÁ EL MUCHACHO ME ATENDIÓ ME SOLUCIONO EL PROBLEMA.",INCIDENTES POSITIVOS
Quejas Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,_,_
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,POR LA EFECTIVIDAD Y RAPIDEZ EN CUANTO A LA ATENCIÓN QUE BRINDARON. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Energía Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,En calidad de inquilina solicita explicaci?n de la factura.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,LA ATENCIÓN EN CUANTO LO FÁCIL Y RÁPIDO QUE ME SOLUCIONARON LA INQUIETUD QUE TENÍA  Y LA INFORMACION QUE ME DIERON. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,El usuario solicita duplicado,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,ME DIERON LA FACTURA LLEGO RÁPIDO EL PERSONAL MUY AMABLE,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,_,Energía,Línea de atención,,Regional,_,_
Quejas Energía (incluido prepago),TELEFONICO,INCONFORMIDAD PUNTO DE VENTA YO RECAUDO,"Cliente: FREIMAN DE JESUS CARDONA
C?dula: 70094834
Direcci?n: CL 97 B CR 28 -33
Contrato: 4509844
Tel?fonos: 3005227043
ID: 00001003971554746120
Fecha y hora de la recarga:  5 de abril 7.36 pm
Valor Recargado: $ 1500
N?mero de medidor Energ?a Prepago:  07077026586
N?mero de tel?fono UNE:  9143765 
Le llego notificaci?n al celular? 3005227043 recarga insuficiente   
Valor reclamado: $ 1500
N?mero de celular para que llegue mensaje de recarga: 3005227043",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,QUEDA UNO SATISFECHO PORQUE LO ATIENDEN A UNO OPORTUNAMENTE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA ATENCIÓN ESTUVO SATISFACTORIA TODO ESTUVO BIEN GRACIAS A DIOS, LA OPORTUNIDAD EN LA ATENCIÓN. SE INDAGA Y NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,EN QUE ME AGRADO EN QUE HICE LA LLAMADA Y ME ATENDIERON MUY BIEN CON MUCHA TRANQUILIDAD Y CON MUCHA COMODIDAD PARA EXPRESARLE LA DIFICULTAD Y RÁPIDO VINIERON HACER EL ARREGLO QUE FUERON 8 DÍAS,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),_,_,_,_,_,Acueducto,Línea de atención,,Metropolitana,"PUES ME PARECE QUE FUE MUY ÁGIL TODO, EN EL SENTIDO DE QUE YO COMENTE QUE ERA Y DIRECTAMENTE ELLOS ME ENVIARON AL ÁREA ENCARGADA, PORQUE ES QUE A VECES UNO LLAMA Y LO PASAN POR CINCUENTA ÁREAS HASTA QUE PUEDA LLEGAR A DONDE ES, Y LUEGO TE TOCA VOLVER A EXPLICAR QUE ES LO QUE NECESITAS, ENTONCES CUANDO ME COMUNIQUE PUES FUERON OPORTUNOS PORQUE EN LA PRIMERA COMUNICACIÓN O INFORMACIÓN QUE DI ELLOS HICIERON EL PUENTE DE LA INFORMACIÓN SIN TENER QUE REPETIR LO QUE HABÍA DICHO ENTONCES EN SI AGRADO MUCHO ESA EXPERIENCIA, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,EL SERVICIO ES BUENO EN CUANTO A QUE LAS PERSONAS QUE LO ATIENDEN A UNO SON CORDIALES Y LA MAYORÍA DE LAS VECES   RESUELVEN  LO QUE UNO NECESITA.,INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,EMISION DE DOCUMENTO PARA PAGO,Usuario en calidad de propietario solicita factura por el saldo pendiente a la fecha en el contrato 1138608.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LA NIÑA QUE ME ATENDIÓ ES EXCELENTE PERSONA,INCIDENTES POSITIVOS
Alternativas de Pago,_,_,_,_,BELLO,No aplica,Línea de atención,,Metropolitana,ME DIERON BIEN LA INFORMACIÓN EN CUANTO A QUE LAS ASESORAS FUERON PRECISAS CON LA INFORMACIÓN QUE NECESITABA  Y QUE FUERON MUY AMABLES LAS ASESORAS,INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,DEMORA EN ATENDER PETICION,"Nombre: MARIA EUGENIA BOLIVAR 
Cc: 32240366
Tel: 444241
Dir: DIAG 32 D TRAN 31 SUR -38
Autoriza SMS:
Id: 00001079061554404989
Cliente con pedido 21132824 en f?nix para punto de conexi?n en estado PENDIENTE desde el d?a 21/03/2019 Con
ans vencido. Usuario muy perjudicado ya que aun no le han brindado respuesta. Solicita verifiquen el tiempo de
atenci?n para la conexi?n. Por favor atender.",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"EL TRATO DE LA PERSONA QUE NOS ATENDIÓ TODO ESTUVO MUY CORDIAL, MANEJABA TÉRMINOS AGRADABLES ACORDES, ENTENDÍA LO QUE LE INDICABA Y MUY CAPACITADO PARA EL CARGO. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Gas Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,Usuario solicita plazo para pago,_,COPACABANA,Gas,Oficina de atención,,Metropolitana,LA PUNTUALIDAD QUE ME BRINDARON  PARA SOLUCIONAR MI REQUERIMIENTO  (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,QUE ME SOLUCIONARON EL INCONVENIENTE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Quejas Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,SE DEMORARON EN HACER LA INSTALACIÓN DEL SERVICIO DEBIDO A UNA DEUDA QUE PRESTABA EL INQUILINO ANTERIOR LA DEUDA ESTABA PORQUE NO LLEGABA EL RECIBO DE GAS .LLAME A EPM PARA REPORTAR QUE NO LLEGABA EL RECIBO Y ME  SUSPENDIERON EL SERVICIO SE DEMORARON VEINTE DÍAS PARA INSTALAR NUEVAMENTE EL SERVICIO ESO ME MOLESTO QUE POR SER  HONRADO ME SUSPENDIERON EL SERVICIO,INCIDENTES NEGATIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,DIRECCION INCORRECTA,En calidad de propietaria solicita cambiar direcci?n a la factura de GAS NATURAL porque est? indica est? errada. Se programa revisi?n para verificar.,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,QUE FUE MUY ÁGIL EL SERVICIO QUE NO ESPERE MUCHO PORQUE ESTABAN ATENDIENDO  MUCHAS PERSONAS  (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"Nombre: PATRICIA NU?EZ GARC?A
Cc: 43745356
Tel: 3005769407
Dir: CR 47 CL 76 SUR -17 (INTERIOR 202 )
Autoriza SMS: si
Id: 00001051721554568703
Orden en SCO 26788646 para direcci?n CR 47 CL 76 SUR -17 (INTERIOR 402 ) con contrato 10980001, usuario asegura que por
error se suspendi? la direcci?n CR 47 CL 76 SUR -17 (INTERIOR 202 ) con contrato 10980000 al d?a en pagos. Favor validar y
atender en el menor tiempo posible.",_,SABANETA,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA CLARIDAD EN LA  RESPUESTA QUE ME BRINDO  EL ASESOR QUE ME ATENDIÓ.,INCIDENTES POSITIVOS
Quejas aguas (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Factura no entregada:
Nombre: Alba Mery Vasquez Estrada
Cc: 43083392
Tel: 3003590204
Dir: CR 33 CL 36 A -11
Autoriza SMS: SI
Id: 00001051991554397650
Contrato 7231520 ciclo 4. Cliente inconforme porque no le llego la factura, esta es la segunda vez que
sucede, favor validar pues no se encuentra inscrito en factura web, y no presenta observaci?n por parte del
personal.",_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"PUES PORQUE ELLOS LA VERDAD FUERON MUY AMABLES, TUVIERON EN CUENTA LA QUEJA QUE YO PRESENTE, Y QUE INMEDIATAMENTE AL OTRO DÍA ELLOS ME RESOLVIERON EL PROBLEMA FUERON MUY PUNTUALES Y EFICIENTES CON EL SERVICIO NO TENGO QUEJA, NO DA MÁS INFORMACIÓN.",INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,ENVIGADO,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,TURBO,Gas,Línea de atención,,Regional,"LA ATENCIÓN, PORQUE  FUERON MUY ATENTOS",INCIDENTES POSITIVOS
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,LO OPORTUNO QUE FUERON PARA ESCUCHARME EN QUE QUEDARON AL TANTO PARA PODERLO SOLUCIONAR/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Reclamaciones Presencial (resuelto/Final),PRESENCIAL,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,Se presenta usuaria en calidad de propietaria presenta reclamo por el consumo del mes de febrero ya que le facturamos 57m3 de agua y alcantarillado he informa que es mucho consumo y esta por encima de sus promedios.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,"QUE EPM ENTENDIÓ LAS RAZONES Y LAS PROBLEMÁTICAS DE MI RECLAMO, Y LAS ATENDIÓ FAVORABLEMENTE SOLUCIONANDO EL PROBLEMA. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Cliente manifiesta llegan dos  facturas para una misma direcci?n,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN ME GUSTO ME EXPLICARON MUY LAS COSAS COMO ERAN CON TIEMPO Y PACIENCIA,INCIDENTES POSITIVOS
Peticiones Gas Oficinas (resuelto),PRESENCIAL,INFORMACION GENERAL,Usuario en calidad de esposo de la propietaria solicita informaci?n de los requisitos para realizar financiaci?n,_,MEDELLIN,Gas,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Alternativas de Pago,_,_,_,_,MEDELLIN,No aplica,Línea de atención,,Metropolitana,LA ATENCIÓN DEL ASESOR QUE ME ATENDIÓ  EN CUANTO A QUE ME DIO  LA SOLUCIÓN  QUE NECESITABA PARA LO QUE ESTABA LLAMANDO,INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,NO CONEXION DEL SERVICIO,"NOMBRE:YAMID HOYOS 
CC: 39307094
DIRECCI?N:CL 32 E CR 65 B -4 (INTERIOR 202 ) -CL 32 E CR 65 B -4 (INTERIOR 302 )
TEL?FONO: 3005452571 -3136141377-5882376
ID:00001050451554156270
OBSERVACIONES: Cliente con pedidos 20910018 y 20910029 para legalizaci?n con ANS Vencido. Usuario solicita pronta atenci?n. Usuaria solicita ser contactada antes de ir. Favor validar y atender.",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Peticiones Aguas Oficinas (resuelto),PRESENCIAL,PLAZO PARA PAGO,Usuario en calidad de inquilino solicita pago parcial en el contrato 582300.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,SIMPLEMENTE ME DIERON LA OFERTA QUE YO NECESITABA ME OFRECIERON EL SERVICIO,INCIDENTES POSITIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,PORQUE ME DIERON UNA PRONTA RESPUESTA Y FUE MUY EFICAZ. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Acueducto,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas aguas (incluido prepago),TELEFONICO,FALLA EN LA CONEXION DEL SERVICIO,"Nombre: Eva Tulia Vasquez Herrera
Cc: 21700711
Tel: 2299808-3004192097
Dir: CL 75 CR 50 -90
Autoriza SMS: Si
Id: 00001104971554386094
Solicitud en hidro 2791497 para cambio Medidor, en estado programada. Cliente
asegura que le realizaron el cambio de medidor el 25 de marzo y en el momento est? presentando fuga, Solicita pronta atenci?n, debido a que esto puede aumentar los consumos facturados ya que la fuga tiene bastante presion.",_,ITAGUI,Acueducto,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
